REG_ALUNO,SIGLA_CURS,STATUS,D_ADIMISSA,D_FINAL,D_TRANCA,D_PRELIMI,D_RETORNO,D_PROPOSTA,D_INTEGRADO,D_QUALIFICAÇÃO,D_SEMINÁRIO,D_SITUÇÃO,TOTCREDI,CONCGLOB,NOTAGLOB,COD_BANCA,NIVEL,TITUTESE,APROVADO,O_ACADEM,O_PESQ1,O_PESQ2,O_PESQ3,O_PESQ4,Observação
1.0750620110000000e+09,"ETECMC","Concluído","03/01/11 00:00:00","02/26/15 00:00:00",,"11/20/14 00:00:00",,"12/20/12 00:00:00",,"05/09/12 00:00:00",,"02/26/15 00:00:00",8.7000000000000000e+01,"A+",4.10534763e+00,,"Doutorado","""DISCRETE MULTIOBJECTIVE OPTIMIZATION APPLIED TO THE SPACECRAFT ACTUATORS COMMAND PROBLEM AND TESTED IN A HARDWARE-IN-THE-LOOP RENDEZVOUS SIMULATOR""","Sim",1.5768000000000000e+04,1.5768000000000000e+04,1.4012012000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,
1.0769720150000000e+09,"ISO","Ativo","06/08/15 00:00:00",,,,,,,,,,2.0000000000000000e+00,"A+",4.20099974e+00,,"Isolado",,"Sim",1.5768000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
1.2742620150000000e+09,"ISO","Concluído","06/08/15 00:00:00",,,,,,,,,,2.0000000000000000e+00,"A+",4.20099974e+00,,"Isolado",,"Sim",1.5768000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
1.1294120150000000e+09,"ETECMC","Ativo","06/08/15 00:00:00",,,,,,,,,,4.0000000000000000e+01,"A-",3.75000000e+00,,"Doutorado",,"Sim",1.5768000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
1.1469320150000000e+09,"ETECSE","Ativo","06/08/15 00:00:00",,,,,,,,,,4.4000000000000000e+01,"A ",3.93000007e+00,,"Doutorado",,"Sim",1.5768000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
1.2862720150000000e+09,"ETECSE","Ativo","06/08/15 00:00:00",,,,,,,,,,4.4000000000000000e+01,"B+",3.40000010e+00,,"Doutorado",,"Sim",1.5768000000000000e+04,5.9889000000000000e+04,4.0045000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,
6.8241201500000000e+08,"ETECSE","Ativo","06/08/15 00:00:00",,,,,,,,,,4.8000000000000000e+01,"A-",3.59999990e+00,,"Doutorado",,"Sim",1.5768000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
1.3482120150000000e+09,"ISO","Ativo","06/08/15 00:00:00",,,,,,,,,,4.0000000000000000e+00,"B+",3.40000010e+00,,"Isolado",,"Sim",4.5879000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
1.3493720150000000e+09,"GES","Desistiu","09/14/15 00:00:00",,,,,,,,,,,,0.00000000e+00,,"Mestrado",,,9.8736000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
1.3492920150000000e+09,"GES","Ativo","06/08/15 00:00:00",,,,,,,,,,2.4000000000000000e+01,"B+",3.27999997e+00,,"Mestrado",,"Sim",9.8736000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
1.7519690000000000e+06,"ECOTEC","Concluído","02/17/69 00:00:00","08/20/71 00:00:00",,,,,,,,"08/20/71 00:00:00",4.0000000000000000e+01,"A ",3.89385724e+00,,"Mestrado","""PROJETO MESIS-ENG SISTEMAS""","Sim",3.2230000000000000e+03,3.2230000000000000e+03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
2.5619910000000000e+06,"CEAMO","Desistiu","03/01/91 00:00:00",,,,,,,,,"04/01/91 00:00:00",0.0000000000000000e+00,,,,"Mestrado",,"Sim",7.4632000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
2.6419910000000000e+06,"CEAMO","Concluído","03/01/91 00:00:00","02/08/95 00:00:00",,"03/14/94 00:00:00",,,"08/10/92 00:00:00",,,"02/08/95 00:00:00",3.8000000000000000e+01,"A-",3.57299995e+00,,"Mestrado","Determinação do coeficiente de arastro de configuração esfera-cone pelo método de Beloatserkovskii.","Sim",7.4632000000000000e+04,8.5154000000000000e+04,6.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,
3.6119910000000000e+06,"CEAMO","Concluído","03/01/91 00:00:00","12/16/93 00:00:00",,"08/05/93 00:00:00",,,"08/31/92 00:00:00",,,"12/16/93 00:00:00",4.0000000000000000e+01,"B+",3.23433328e+00,,"Mestrado","Estimação sequencial de órbita utilizando o modelo unificado de estados.","Sim",7.4632000000000000e+04,9.7705000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
3.6119940000000000e+06,"ETECMC","Concluído","03/01/94 00:00:00","08/21/98 00:00:00",,"09/19/97 00:00:00",,,"06/24/96 00:00:00",,,"08/21/98 00:00:00",8.5000000000000000e+01,"A-",3.80099988e+00,,"Doutorado","""ESTUDO NUMÉRICO DA CAPTURA GRAVITACIONAL TEMPORÁRIA UTILIZANDO O PROBLEMA RESTRITO DE TRÊS CORPOS""","Sim",8.5154000000000000e+04,9.2339000000000000e+04,2.1180000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,
4.6919910000000000e+06,"CEAMO","Concluído","03/01/91 00:00:00","04/15/94 00:00:00",,"02/24/94 00:00:00",,,"08/10/92 00:00:00",,,"04/15/94 00:00:00",4.2000000000000000e+01,"A-",3.68360877e+00,,"Mestrado","Refrigeração regenerativa para câmaras de empuxo de motores foguete a propelentes líquidos.","Sim",7.4632000000000000e+04,2.2993000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
4.9319910000000000e+06,"CEAMO","Concluído","03/01/91 00:00:00","05/04/95 00:00:00",,"07/15/94 00:00:00",,,"09/15/92 00:00:00",,,"05/04/95 00:00:00",4.4000000000000000e+01,"B ",2.89132261e+00,,"Mestrado","Projeto de um sistema de controle de atitude de um satélite com apêndices flexíveis pelos métodos L:QG/LTR e H-Infinito.","Sim",7.4632000000000000e+04,5.6235000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
5.3119910000000000e+06,"CEACB","Concluído","03/01/91 00:00:00","12/16/94 00:00:00",,"11/04/93 00:00:00",,,"10/08/93 00:00:00",,,"12/16/94 00:00:00",3.7000000000000000e+01,"B ",2.90100002e+00,,"Mestrado","Estudo da transferência de calor em plumas turbulentas.","Sim",6.1522000000000000e+04,9.5451000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
5.5819910000000000e+06,"CEACB","Desistiu","03/01/91 00:00:00",,,,,,,,,"07/08/91 00:00:00",3.0000000000000000e+00,"B-",2.70099998e+00,,"Mestrado",,"Sim",6.1522000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
5.7419910000000000e+06,"CEACB","Concluído","03/01/91 00:00:00","12/22/94 00:00:00",,"11/04/93 00:00:00",,,"09/06/93 00:00:00",,,"12/22/94 00:00:00",3.7000000000000000e+01,"A-",3.46350002e+00,,"Mestrado","Estudo do escoamento de pluma turbulenta bidimensional com intermitência e fonte de calor conhecida.","Sim",6.1522000000000000e+04,9.5451000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
5.7419950000000000e+06,"CAP","Concluído","03/01/95 00:00:00","03/29/00 00:00:00",,,,"05/28/97 00:00:00",,"09/04/96 00:00:00",,"03/29/00 00:00:00",8.4000000000000000e+01,"A-",3.67600012e+00,,"Doutorado","""SIMULAÇÃO DE ESCOAMENTOS INCOMPRESSÍVEIS TRIDIMENSIONAIS COM USO DE ABORDAGEM BASEADA NO CIRCUNCENTRO""","Sim",8.4751000000000000e+04,9.5451000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
5.9019910000000000e+06,"CEACB","Concluído","03/01/91 00:00:00","08/29/94 00:00:00",,"11/04/93 00:00:00",,,"08/18/93 00:00:00",,,"08/29/94 00:00:00",3.7000000000000000e+01,"A-",3.46350002e+00,,"Mestrado","Análise de medidas de temperatura em escoamentos turbulentos.","Sim",6.1522000000000000e+04,9.5451000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
6.4719910000000000e+06,"MET","Desistiu","03/01/91 00:00:00",,,,,,,,,"05/23/91 00:00:00",,,0.00000000e+00,,"Mestrado",,,9.4846000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
6.7119910000000000e+06,"MET","Concluído","03/01/91 00:00:00","08/05/93 00:00:00",,"11/26/92 00:00:00",,,"03/09/92 00:00:00",,,"08/05/93 00:00:00",3.7000000000000000e+01,"A-",3.55099988e+00,,"Mestrado","Estudo de mudança climática globais utilizando modelos de média zonal.","Sim",9.4846000000000000e+04,2.4800000000000000e+02,9.3122000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,
7.9519910000000000e+06,"MET","Concluído","03/01/91 00:00:00","12/09/93 00:00:00",,"05/13/93 00:00:00",,,"03/13/92 00:00:00",,,"12/09/93 00:00:00",4.0000000000000000e+01,"B+",3.41581488e+00,,"Mestrado","Experimentos observacionais e modelagem das perdas por interceptação da precipitação na Floresta Amazônica.","Sim",9.4846000000000000e+04,8.6487000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
8.2519910000000000e+06,"MET","Desligado","03/01/91 00:00:00",,,,,,"06/30/92 00:00:00",,,"06/30/92 00:00:00",2.4000000000000000e+01,"B ",3.13016677e+00,,"Mestrado",,"Sim",9.4846000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
8.3319910000000000e+06,"MET","Concluído","03/01/91 00:00:00","06/08/93 00:00:00",,"11/17/92 00:00:00",,,"03/12/92 00:00:00",,,"06/08/93 00:00:00",3.7000000000000000e+01,"A-",3.76349998e+00,,"Mestrado","Estudo teorico de modos de Green.","Sim",9.4846000000000000e+04,2.4800000000000000e+02,9.3130000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,
9.0619910000000000e+06,"MET","Desligado","03/01/91 00:00:00",,,,,,"06/30/92 00:00:00",,,"06/30/92 00:00:00",2.4000000000000000e+01,"B+",3.26349998e+00,,"Mestrado",,"Sim",9.4846000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
9.3019910000000000e+06,"MET","Desligado","09/01/91 00:00:00",,,,,,"06/30/92 00:00:00",,,"06/30/92 00:00:00",2.4000000000000000e+01,"B+",3.29266667e+00,,"Mestrado",,"Sim",9.4846000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
9.5719910000000000e+06,"MET","Concluído","03/01/91 00:00:00","02/07/94 00:00:00",,"06/24/93 00:00:00",,,"03/10/92 00:00:00",,,"02/07/94 00:00:00",3.7000000000000000e+01,"A-",3.63016677e+00,,"Mestrado","Estudo da camada limite planetária atmosférica marítima.","Sim",9.4846000000000000e+04,2.6166000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
1.0311991000000000e+07,"MET","Concluído","03/01/91 00:00:00","11/25/93 00:00:00",,"03/04/93 00:00:00",,,"03/11/92 00:00:00",,,"11/25/93 00:00:00",4.0000000000000000e+01,"A-",3.51581478e+00,,"Mestrado","Estudo de episódio de zonas de convergência do Atlântico Sul sobre a América do Sul.","Sim",9.4846000000000000e+04,7.8840000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
1.0661991000000000e+07,"MET","Concluído","03/01/91 00:00:00","12/13/95 00:00:00",,"12/15/94 00:00:00",,,"04/12/93 00:00:00",,,"12/13/95 00:00:00",8.8000000000000000e+01,"A-",3.72957134e+00,,"Doutorado","Camada limite amazônica: aspectos observacionais e de modelagem.","Sim",9.4846000000000000e+04,8.6487000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
1.0901991000000000e+07,"CAP","Concluído","03/01/91 00:00:00","03/24/95 00:00:00",,"04/29/94 00:00:00",,,"06/14/92 00:00:00",,,"03/24/95 00:00:00",4.0000000000000000e+01,"A ",3.87877774e+00,,"Mestrado","Uma heurística baseada em algoritmos genéticos aplicada ao problema de cobertura de conjuntos.","Sim",5.9579000000000000e+04,9.3106000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
1.1121991000000000e+07,"CAP","Concluído","03/01/91 00:00:00","02/28/94 00:00:00",,"12/27/93 00:00:00",,,"06/23/92 00:00:00",,,"02/28/94 00:00:00",3.7000000000000000e+01,"B+",3.34385705e+00,,"Mestrado","Novas heurísticas para o problema generalizado de atribuição.","Sim",5.9579000000000000e+04,9.3106000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
1.1121994000000000e+07,"CAP","Concluído","03/01/94 00:00:00","04/27/98 00:00:00",,"10/03/97 00:00:00",,,"11/20/95 00:00:00",,,"04/27/98 00:00:00",8.5000000000000000e+01,"A ",3.90100002e+00,,"Doutorado","""A RELAXAÇÃO LAGRANGEANA/SURROGATE E ALGUMAS APLICAÇÕES EM OTIMIZAÇÃO COMBINATÓRIA"".","Sim",8.4751000000000000e+04,9.3106000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
1.2281991000000000e+07,"CAP","Concluído","03/01/91 00:00:00","03/29/95 00:00:00",,"09/29/94 00:00:00",,,"06/25/92 00:00:00",,,"03/29/95 00:00:00",3.7000000000000000e+01,"B+",3.38849998e+00,,"Mestrado","Um modelo de interface para pesquisa e recuperação de informações em redes de computadores.","Sim",5.9579000000000000e+04,5.1930000000000000e+03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
1.2441991000000000e+07,"CAP","Concluído","03/01/91 00:00:00","04/11/94 00:00:00",,"03/01/94 00:00:00",,,"06/09/92 00:00:00",,,"04/11/94 00:00:00",4.3000000000000000e+01,"A-",3.60100007e+00,,"Mestrado","Detecção de movimento de objetos não rígidos: uma abordagem baseada em redes neurais.","Sim",5.9579000000000000e+04,5.1930000000000000e+03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
1.2441999000000000e+07,"ISO","Concluído","09/08/99 00:00:00",,,,,,,,,,3.0000000000000000e+00,"A ",4.00099993e+00,,"Isolado",,"Sim",4.8437000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
1.2521991000000000e+07,"CAP","Desligado","03/01/91 00:00:00",,,,,,"06/25/92 00:00:00",,,"09/23/94 00:00:00",2.4000000000000000e+01,"B+",3.33143473e+00,,"Mestrado",,"Sim",5.9579000000000000e+04,1.8813000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
1.2601991000000000e+07,"CAP","Desligado","03/01/91 00:00:00",,,,,,,,,"06/23/93 00:00:00",2.0000000000000000e+01,"A-",3.48335290e+00,,"Doutorado",,"Sim",5.9579000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
1.3171991000000000e+07,"SER","Concluído","03/01/91 00:00:00","12/16/94 00:00:00",,"03/03/93 00:00:00",,,"04/22/92 00:00:00",,,"12/16/94 00:00:00",3.8000000000000000e+01,"A-",3.56186962e+00,,"Mestrado","Digitalização semi-automatizada de dados para produção de modelos numéricos de elevação.","Sim",6.3940000000000000e+03,6.3940000000000000e+03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
